pid,order,file_name,label,_date,object_type,source
gbby-45g001,0,gbby-45g001.jpg,GBBY 45G/001: Football Coach Hunk Anderson with Players - c1931-1933,1931-1933,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g001.jpg
gbby-45g002,1,gbby-45g002.jpg,GBBY 45G/002: Football Coach Hunk Anderson with Family - c1931-1933,1931-1933,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g002.jpg
gbby-45g003,2,gbby-45g003.jpg,GBBY 45G/003: Harry Becker: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g003.jpg
gbby-45g004,3,gbby-45g004.jpg,GBBY 45G/004: Reyman (Bud) Bonar: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g004.jpg
gbby-45g005,4,gbby-45g005.jpg,GBBY 45G/005: Reyman (Bud) Bonar: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g005.jpg
gbby-45g006,5,gbby-45g006.jpg,GBBY 45G/006: William (Bill) Bruno: Football Player - c1934-1936,1934-1936,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g006.jpg
gbby-45g007,6,gbby-45g007.jpg,GBBY 45G/007: George Caldwell: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g007.jpg
gbby-45g008,7,gbby-45g008.jpg,GBBY 45G/008: George Caldwell: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g008.jpg
gbby-45g009,8,gbby-45g009.jpg,GBBY 45G/009: Fred Carideo: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g009.jpg
gbby-45g010,9,gbby-45g010.jpg,"GBBY 45G/010: August (Augie, Sonny) Church: Football Player - c1934-1935",1934-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g010.jpg
gbby-45g011,10,gbby-45g011.jpg,"GBBY 45G/011: August (Augie, Sonny) Church: Football Player - c1934-1935",1934-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g011.jpg
gbby-45g012,11,gbby-45g012.jpg,GBBY 45G/012: Ward (Doc) Connell: Football Player - c1922-1924,1922-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g012.jpg
gbby-45g013,12,gbby-45g013.jpg,GBBY 45G/013: Albert Costello: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g013.jpg
gbby-45g014,13,gbby-45g014.jpg,GBBY 45G/014: Albert Costello: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g014.jpg
gbby-45g015,14,gbby-45g015.jpg,GBBY 45G/015: Albert Costello: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g015.jpg
gbby-45g016,15,gbby-45g016.jpg,GBBY 45G/016: Irwin Davis: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g016.jpg
gbby-45g017,16,gbby-45g017.jpg,GBBY 45G/017: Rex Enright: Football Player - c1923-1925,1923-1925,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g017.jpg
gbby-45g018,17,gbby-45g018.jpg,GBBY 45G/018: Donald Elser: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g018.jpg
